RoadID,RoadName,CountyID,TownName,RoadClass,RoadClassName,Version,UpdateDate
600189A,大安路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600190A,大屯路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600191A,大度路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600192A,大度路二段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600193A,大度路三段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600194A,大東小北圓環,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600195A,大東路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600196A,大業路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600203A,大西路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600204A,大道路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600206A,天母北路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600207A,天母東路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600208A,天母西路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600209A,天水路,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600212A,天祥路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600213A,太原路,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600214A,奇岩路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600215A,奉賢路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600216A,孔子大道,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600217A,學園路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600218A,安和路一段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600219A,安和路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600222A,安康路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600225A,安美街,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600227A,宜山路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600229A,富山路,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600230A,富康街,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600231A,富民路,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600232A,富貴一路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600235A,富陽街,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600238A,寧夏路,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600242A,寶慶街,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600243A,寶慶路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600244A,寶橋路,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600253A,崇仁路一段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600254A,崇仰一路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600255A,崇仰二路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600256A,崇仰三路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600257A,崇仰五路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600258A,崇仰六路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600259A,崇仰七路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600260A,崇仰九路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600261A,崇實路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600263A,崗山路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600264A,市府路,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600265A,市民大道一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600266A,市民大道二段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600267A,市民大道三段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600268A,市民大道四段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600269A,市民大道五段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600270A,市民大道六段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600271A,市民大道七段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600272A,市民大道八段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600273A,師大路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600278A,幽雅路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600279A,庫倫街,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600280A,康定路,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600282A,康寧路一段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600283A,康寧路二段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600284A,康寧路三段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600286A,康湖路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600291A,延平北路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600292A,延平北路二段,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600293A,延平北路三段,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600294A,延平北路四段,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600295A,延平北路五段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600296A,延平北路六段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600297A,延平北路七段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600298A,延平北路八段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600299A,延平北路九段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600300A,延平南路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600301A,延平南路圓環,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600302A,建國北路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600303A,建國北路二段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600304A,建國北路三段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600305A,建國南路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600306A,建國南路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600308A,建業路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600309A,建民路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600313A,徐州路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600314A,復北地下道,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600316A,復興一路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600317A,復興二路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600318A,復興三路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600319A,復興北民權東圓環,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600320A,復興北路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600321A,復興南路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600322A,復興南路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600323A,復興四路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600326A,德行東路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600327A,德行西路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600333A,忠孝東路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600334A,忠孝東路二段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600335A,忠孝東路三段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600336A,忠孝東路四段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600337A,忠孝東路五段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600339A,忠孝東路六段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600340A,忠孝東路七段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600341A,忠孝橋引道,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600342A,忠孝西路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600343A,忠孝西路二段,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600344A,忠孝路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600346A,忠誠路一段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600347A,忠誠路二段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600350A,思源街,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600354A,愛國東路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600355A,愛國西路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600357A,愛富二街,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600359A,慶城街,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600360A,懷寧街,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600362A,成功民權圓環,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600363A,成功民權金湖康寧圓環,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600364A,成功路一段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600365A,成功路二段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600366A,成功路三段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600367A,成功路四段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600368A,成功路五段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600369A,成福路,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600370A,成都路,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600371A,承德路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600372A,承德路二段,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600373A,承德路三段,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600374A,承德路四段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600375A,承德路五段,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600376A,承德路六段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600377A,承德路七段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600378A,指南路一段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600379A,指南路二段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600380A,指南路三段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600383A,撫遠街,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600388A,故宮路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600389A,敦化北路,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600392A,敦化南路一段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600393A,敦化南路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600395A,敦煌路,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600396A,敬業一路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600397A,敬業二路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600398A,敬業三路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600399A,敬業四路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600400A,敬熙路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600401A,文化三路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600402A,文德路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600404A,文昌路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600405A,文林北路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600406A,文林路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600409A,新光路一段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600410A,新光路二段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600411A,新光路圓環,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600413A,新安路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600416A,新明路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600419A,新民路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600420A,新湖一路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600421A,新湖二路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600422A,新湖三路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600423A,新生北路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600424A,新生北路二段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600425A,新生北路三段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600426A,新生南路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600427A,新生南路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600428A,新生南路三段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600430A,新興路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600432A,昆明街,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600434A,昌吉街,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600435A,明德路,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600436A,明水路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600444A,景文街,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600447A,景福門圓環,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600448A,景美街,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600449A,景興路,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600450A,景華街,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600454A,木新路一段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600455A,木新路二段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600456A,木新路三段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600457A,木柵路一段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600458A,木柵路二段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600459A,木柵路三段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600460A,木柵路四段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600461A,木柵路五段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
